obs_num,common_name,scientific_name,quality_grade,media_count,identifications_count,user,observed_date,place,added_date
31,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,paige186-gwmn,"Jun 28, 2025 6:40 PM CDT","San Angelo, TX, US","Jun 28, 2025 8:08 PM CDT"
32,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,cgdwn,"Jun 7, 2025 2:33 PM CDT","W Houston Harte Frontage Rd, San Angelo, TX, US","Jun 9, 2025 6:14 PM CDT"
33,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,robynleigh626,"Jun 4, 2025 10:19 AM CDT",San Angelo,"Jun 4, 2025 10:19 AM CDT"
34,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,3,madsnamiogr,"May 17, 2025 3:00 PM CDT","Hillside Dr, San Angelo, TX, US","May 17, 2025 3:09 PM CDT"
35,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,tisha11293,"May 14, 2025 8:52 AM CDT","San Angelo, TX 76903, USA","May 14, 2025 8:52 AM CDT"
36,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"May 10, 2025 6:46 PM CDT","San Angelo, TX 76904, USA","May 10, 2025 6:47 PM CDT"
37,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"May 9, 2025 1:39 PM CDT","San Angelo, TX, USA","May 9, 2025 1:40 PM CDT"
38,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,larissa_sneed,"May 7, 2025 1:08 PM CDT","San Angelo, TX, US","May 7, 2025 1:09 PM CDT"
39,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,brooksy,"May 4, 2025 8:26 AM CDT","Tom Green County, TX, USA","May 4, 2025 10:59 AM CDT"
40,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,brooksy,"May 3, 2025 10:02 AM CDT","Grape Creek, TX 76901, USA","May 3, 2025 10:10 AM CDT"
41,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,beckiperkins,"May 3, 2025 8:22 AM CDT","W Old Sterling City Hwy, San Angelo, TX, US","May 3, 2025 8:26 AM CDT"
42,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,kenniemerbach,"Apr 27, 2025 11:53 AM CDT","South Slick Rock Trail, San Angelo, TX, US","Apr 27, 2025 3:09 PM CDT"
43,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Apr 27, 2025 2:47 PM CDT","San Angelo, TX, USA","Apr 27, 2025 2:49 PM CDT"
44,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Apr 27, 2025 2:22 PM CDT","San Angelo, TX, USA","Apr 27, 2025 2:22 PM CDT"
45,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,chulasrider,"Apr 26, 2025 9:46 AM CDT","Grape Creek, TX 76901, USA","Apr 26, 2025 2:44 PM CDT"
46,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Apr 26, 2025 1:39 PM CDT","San Angelo, TX, USA","Apr 26, 2025 1:40 PM CDT"
47,Silverleaf Nightshade,Solanum elaeagnifolium,Research Grade,1,2,glerbster,"Apr 26, 2025 1:33 PM CDT","San Angelo, TX, USA","Apr 26, 2025 1:34 PM CDT"
